,asset_id,price,token_price,sale_date,x,y,to_road,t0_genesis,to_district,closest_genesis,closest_district,properties_json
0,43896425332801061786775324358698099277806,"$2,831.652","8,999 (MANA)","3 hrs ago 2/18/2021, 1:59:37 AM",128,-18,17,38.08,19,East,Dragon Kingdom,"{'name': 'Parcel 128,-18', 'description': '', 'image': 'https://api.decentraland.org/v1/parcels/128/-18/map.png?size=24&width=1024&height=1024', 'external_url': 'https://market.decentraland.org/contracts/0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d/tokens/43896425332801061786775324358698099277806', 'attributes': [{'trait_type': 'X', 'value': 128, 'display_type': 'number'}, {'trait_type': 'Y', 'value': -18, 'display_type': 'number'}], 'background_color': '000000'}"
1,4423670769972200025023869896612986748965,"$15,623.65","50,000 (MANA)","3 hrs ago 2/18/2021, 1:38:37 AM",13,37,12,28.16,15,Genesis,SciArt Lab,"{'name': 'l337 Tile,  #hackers', 'description': '', 'image': 'https://api.decentraland.org/v1/parcels/13/37/map.png?size=24&width=1024&height=1024', 'external_url': 'https://market.decentraland.org/contracts/0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d/tokens/4423670769972200025023869896612986748965', 'attributes': [{'trait_type': 'X', 'value': 13, 'display_type': 'number'}, {'trait_type': 'Y', 'value': 37, 'display_type': 'number'}], 'background_color': '000000'}"
2,10208471007628153903901238222953046343710,"$6,341.76","20,000 (MANA)","4 hrs ago 2/18/2021, 12:32:18 AM",30,30,20,29,22,Genesis,The Anarchist International,"{'name': 'Parcel 30,30', 'description': '', 'image': 'https://api.decentraland.org/v1/parcels/30/30/map.png?size=24&width=1024&height=1024', 'external_url': 'https://market.decentraland.org/contracts/0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d/tokens/10208471007628153903901238222953046343710', 'attributes': [{'trait_type': 'X', 'value': 30, 'display_type': 'number'}, {'trait_type': 'Y', 'value': 30, 'display_type': 'number'}], 'background_color': '000000'}"
3,11229318108390969294291362045248350978081,"$4,756.32","15,000 (MANA)","4 hrs ago 2/18/2021, 12:32:18 AM",33,33,17,26.87,19.03,North-East,The Anarchist International,"{'name': 'Parcel 33,33', 'description': '', 'image': 'https://api.decentraland.org/v1/parcels/33/33/map.png?size=24&width=1024&height=1024', 'external_url': 'https://market.decentraland.org/contracts/0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d/tokens/11229318108390969294291362045248350978081', 'attributes': [{'trait_type': 'X', 'value': 33, 'display_type': 'number'}, {'trait_type': 'Y', 'value': 33, 'display_type': 'number'}], 'background_color': '000000'}"
4,115792089237316195423570985008687907820943159808151410010436996301895149551527,"$2,447.312","8,000 (MANA)","6 hrs ago 2/17/2021, 10:55:41 PM",-96,-89,20,30.81,70,South-West,Fashion Street,"{'name': 'Parcel -96,-89', 'description': '', 'image': 'https://api.decentraland.org/v1/parcels/-96/-89/map.png?size=24&width=1024&height=1024', 'external_url': 'https://market.decentraland.org/contracts/0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d/tokens/115792089237316195423570985008687907820943159808151410010436996301895149551527', 'attributes': [{'trait_type': 'X', 'value': -96, 'display_type': 'number'}, {'trait_type': 'Y', 'value': -89, 'display_type': 'number'}], 'background_color': '000000'}"
5,19396094914493492417412352623610788052865,"$2,027.877","6,799 (MANA)","10 hrs ago 2/17/2021, 6:59:59 PM",56,-127,10,41.3,18,Extra-South-2,Dragon City,"{'name': 'Downtown South DCL', 'description': 'Highly active neighbors. Location is a must see!', 'image': 'https://api.decentraland.org/v1/parcels/56/-127/map.png?size=24&width=1024&height=1024', 'external_url': 'https://market.decentraland.org/contracts/0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d/tokens/19396094914493492417412352623610788052865', 'attributes': [{'trait_type': 'X', 'value': 56, 'display_type': 'number'}, {'trait_type': 'Y', 'value': -127, 'display_type': 'number'}, {'trait_type': 'Distance to Road', 'value': 9, 'display_type': 'number'}], 'background_color': '000000'}"
6,30965695389805400175167089276290907242356,"$2,321.771","7,800 (MANA)","11 hrs ago 2/17/2021, 6:02:58 PM",90,-140,10,71.57,2,South-East,Dragon City,"{'name': 'Parcel 90,-140', 'description': '', 'image': 'https://api.decentraland.org/v1/parcels/90/-140/map.png?size=24&width=1024&height=1024', 'external_url': 'https://market.decentraland.org/contracts/0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d/tokens/30965695389805400175167089276290907242356', 'attributes': [{'trait_type': 'X', 'value': 90, 'display_type': 'number'}, {'trait_type': 'Y', 'value': -140, 'display_type': 'number'}, {'trait_type': 'Distance to District', 'value': 1, 'display_type': 'number'}, {'trait_type': 'Distance to Road', 'value': 9, 'display_type': 'number'}], 'background_color': '000000'}"
7,46618684268168569494482321218152244969452,"$2,653.814","8,777 (MANA)","11 hrs ago 2/17/2021, 5:47:00 PM",136,-20,14,46.32,19,East,Dragon City,"{'name': 'Parcel 136,-20', 'description': '', 'image': 'https://api.decentraland.org/v1/parcels/136/-20/map.png?size=24&width=1024&height=1024', 'external_url': 'https://market.decentraland.org/contracts/0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d/tokens/46618684268168569494482321218152244969452', 'attributes': [{'trait_type': 'X', 'value': 136, 'display_type': 'number'}, {'trait_type': 'Y', 'value': -20, 'display_type': 'number'}], 'background_color': '000000'}"
8,115792089237316195423570985008687907828089089513491117743167863057962281992222,"$4,880.032","16,000 (MANA)","12 hrs ago 2/17/2021, 5:20:59 PM",-74,30,19,21,1,West,Virtual Reality Shopping District,"{'name': 'Parcel -74,30', 'description': '', 'image': 'https://api.decentraland.org/v1/parcels/-74/30/map.png?size=24&width=1024&height=1024', 'external_url': 'https://market.decentraland.org/contracts/0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d/tokens/115792089237316195423570985008687907828089089513491117743167863057962281992222', 'attributes': [{'trait_type': 'X', 'value': -74, 'display_type': 'number'}, {'trait_type': 'Y', 'value': 30, 'display_type': 'number'}, {'trait_type': 'Distance to District', 'value': 0, 'display_type': 'number'}], 'background_color': '000000'}"
9,47979813735852323348335819647879317815344,"$2,067.287","7,150 (MANA)","20 hrs ago 2/17/2021, 9:17:14 AM",141,48,9,62.8,11,East,Aetherian City,"{'name': 'Parcel 141,48', 'description': '', 'image': 'https://api.decentraland.org/v1/parcels/141/48/map.png?size=24&width=1024&height=1024', 'external_url': 'https://market.decentraland.org/contracts/0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d/tokens/47979813735852323348335819647879317815344', 'attributes': [{'trait_type': 'X', 'value': 141, 'display_type': 'number'}, {'trait_type': 'Y', 'value': 48, 'display_type': 'number'}, {'trait_type': 'Distance to Road', 'value': 8, 'display_type': 'number'}], 'background_color': '000000'}"
10,115792089237316195423570985008687907847485184427984610160580215681573070045066,"$2,815.508","9,999 (MANA)","~1 day ago 2/16/2021, 9:55:55 PM",-18,-118,3,14.56,92,Extra-South-1,Dragon City,"{'name': '成都建工工业设备安装有限公司', 'description': '专业设计、建造和运维加油站项目', 'image': 'https://api.decentraland.org/v1/parcels/-18/-118/map.png?size=24&width=1024&height=1024', 'external_url': 'https://market.decentraland.org/contracts/0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d/tokens/115792089237316195423570985008687907847485184427984610160580215681573070045066', 'attributes': [{'trait_type': 'X', 'value': -18, 'display_type': 'number'}, {'trait_type': 'Y', 'value': -118, 'display_type': 'number'}, {'trait_type': 'Distance to Road', 'value': 2, 'display_type': 'number'}], 'background_color': '000000'}"
11,19055812547572553953948978016179019841511,"$2,470.571","8,740 (MANA)","~1 day ago 2/16/2021, 9:25:33 PM",55,-25,4,23.35,15.81,East,Mother Russia Land,"{'name': 'MufasaArtGallery', 'description': 'Location is a must see! Gallery comes with the land.', 'image': 'https://api.decentraland.org/v1/parcels/55/-25/map.png?size=24&width=1024&height=1024', 'external_url': 'https://market.decentraland.org/contracts/0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d/tokens/19055812547572553953948978016179019841511', 'attributes': [{'trait_type': 'X', 'value': 55, 'display_type': 'number'}, {'trait_type': 'Y', 'value': -25, 'display_type': 'number'}, {'trait_type': 'Distance to Road', 'value': 3, 'display_type': 'number'}], 'background_color': '000000'}"
