asset_id,price,token_price,sale date,x,y,asset_properties
115792089237316195423570985008687907828769654247332994670094612272825818414999,$699.616,"8,000 (MANA)","9 hrs ago 11/11/2020, 9:18:44 AM",-73,-105,"{'ok': True, 'data': {'id': '-73,-105', 'x': -73, 'y': -105, 'auction_price': 1000, 'district_id': None, 'owner': '0x9900865334180fe2a507ca1a3122b61a94cc2e3e', 'data': {'version': 0}, 'auction_owner': '0x9900865334180fe2a507ca1a3122b61a94cc2e3e', 'tags': {}, 'last_transferred_at': '1571141339000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
115792089237316195423570985008687907850547725730273056331750587148458983948315,"$2,026.1","23,500 (MANA)","9 hrs ago 11/11/2020, 8:31:53 AM",-8,27,"{'ok': True, 'data': {'id': '-8,27', 'x': -8, 'y': 27, 'auction_price': 3054, 'district_id': None, 'owner': '0xf293dfe0ac79c2536b9426957ac8898d6c743717', 'data': {'ipns': '', 'name': 'Best Center Corner ', 'version': 0, 'description': 'Central > Plaza >> Freeway'}, 'auction_owner': '0x363803aba64729686fdaf4b2bdeae510a32732e0', 'tags': {'proximity': {'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 0}}}, 'last_transferred_at': '1597250125000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
115792089237316195423570985008687907828769654247332994670094612272825818415000,$695.728,"8,000 (MANA)","16 hrs ago 11/11/2020, 2:01:24 AM",-73,-104,"{'ok': True, 'data': {'id': '-73,-104', 'x': -73, 'y': -104, 'auction_price': 1000, 'district_id': None, 'owner': '0x284ea03f753842b1cc456a7bafc61243d8dde5c0', 'data': {'version': 0}, 'auction_owner': '0x9900865334180fe2a507ca1a3122b61a94cc2e3e', 'tags': {}, 'last_transferred_at': '1605078084000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
49340943203536077202189318077606390660997,$741.26,"8,500 (MANA)","23 hrs ago 11/10/2020, 7:06:23 PM",144,-123,"{'ok': True, 'data': {'id': '144,-123', 'x': 144, 'y': -123, 'auction_price': 10554.44, 'district_id': None, 'owner': '0x959e104e1a4db6317fa58f8295f586e1a978c297', 'data': {'ipns': '', 'name': 'Dragon City', 'version': 0, 'description': ''}, 'auction_owner': '0xe010b3bcbb3d077a82985194800227914393360a', 'tags': {'proximity': {'district': {'district_id': '106f1557-4a92-41a4-9f18-40fcb90b4031', 'distance': 5}, 'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 5}}}, 'last_transferred_at': '1605054150000', 'estate_id': '1547', 'update_operator': None, 'auction_timestamp': '1545471232000', 'operator': None}}"
6465364971497830805804117541203596017727,"$3,070.976","32,000 (MANA)","~1 day ago 11/10/2020, 3:04:24 PM",19,63,"{'ok': True, 'data': {'id': '19,63', 'x': 19, 'y': 63, 'auction_price': 1563, 'district_id': None, 'owner': '0xe3e33d444d0342ffff9c6cd564cd44082ed15b12', 'data': {'ipns': '', 'name': 'Close to different districts', 'version': 0, 'description': 'It is adjacent to two districts. There are only five in all land.'}, 'auction_owner': '0xdb487e9ef6348e0d2103f8a1f28e586b4ddcb05a', 'tags': {'proximity': {'district': {'district_id': 'ea2c3a3e-bbd6-49d9-814c-3b64b37b057a', 'distance': 0}, 'plaza': {'district_id': '55327350-d9f0-4cae-b0f3-8745a0431099', 'distance': 9}, 'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 7}}}, 'last_transferred_at': '1605038664000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
13611294676837538538534984297270728458129,$852.964,"8,888 (MANA)","~1 day ago 11/10/2020, 3:03:50 PM",39,-111,"{'ok': True, 'data': {'id': '39,-111', 'x': 39, 'y': -111, 'auction_price': 1000, 'district_id': None, 'owner': '0xc454e2b4ebb3c74b2caf83e74067a8055b375e4e', 'data': {'version': 0}, 'auction_owner': '0x0727fc3970cca8a5e57145777133dc551c124beb', 'tags': {'proximity': {'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 0}}}, 'last_transferred_at': '1605038630000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
115792089237316195423570985008687907808692994598997625325755510434351493939221,"$1,412.922","14,000 (MANA)","~1 day ago 11/10/2020, 9:38:08 AM",-131,21,"{'ok': True, 'data': {'id': '-131,21', 'x': -131, 'y': 21, 'auction_price': 4203, 'district_id': None, 'owner': '0x959e104e1a4db6317fa58f8295f586e1a978c297', 'data': {'version': 0}, 'auction_owner': '0xb1a97be5ddca3ab929aa8f8efe5ddee68cfa262a', 'tags': {'proximity': {'district': {'district_id': 'e3118325-fe60-45bd-9a10-358a26ce66e4', 'distance': 1}, 'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 0}}}, 'last_transferred_at': '1605026143000', 'estate_id': '3893', 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
115792089237316195423570985008687907808352712232076686862292135826919725727765,"$1,412.922","14,000 (MANA)","~1 day ago 11/10/2020, 9:37:32 AM",-132,21,"{'ok': True, 'data': {'id': '-132,21', 'x': -132, 'y': 21, 'auction_price': 2500, 'district_id': None, 'owner': '0x959e104e1a4db6317fa58f8295f586e1a978c297', 'data': {'version': 0}, 'auction_owner': '0xb1a97be5ddca3ab929aa8f8efe5ddee68cfa262a', 'tags': {'proximity': {'district': {'district_id': 'e3118325-fe60-45bd-9a10-358a26ce66e4', 'distance': 1}, 'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 0}}}, 'last_transferred_at': '1605026143000', 'estate_id': '3893', 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
115792089237316195423570985008687907808352712232076686862292135826919725727764,"$2,584.75","25,000 (MANA)","~1 day ago 11/10/2020, 7:50:22 AM",-132,20,"{'ok': True, 'data': {'id': '-132,20', 'x': -132, 'y': 20, 'auction_price': 2443, 'district_id': None, 'owner': '0x81e4fb0c64bf49f89b57f6648562fc9a791b2e92', 'data': {'ipns': '', 'name': 'ULTRA RARE Corner: Fashion Street and road', 'version': 0, 'description': 'On the corner of fashion street and the only road in/out'}, 'auction_owner': '0xf305cb3c1d5af0eba9bd83d0f83a345b0d41e4ae', 'tags': {'proximity': {'district': {'district_id': 'e3118325-fe60-45bd-9a10-358a26ce66e4', 'distance': 0}, 'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 0}}}, 'last_transferred_at': '1605012622000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
19396094914493492417412352623610788052865,$666.437,"7,999 (MANA)","~2 days ago 11/9/2020, 9:42:28 AM",56,-127,"{'ok': True, 'data': {'id': '56,-127', 'x': 56, 'y': -127, 'auction_price': 1000, 'district_id': None, 'owner': '0xf0e853a5cd6c33e05e4d824987381fccd0f30607', 'data': {'ipns': '', 'name': 'parcel', 'version': 0, 'description': ''}, 'auction_owner': '0x36aedd6cca549b1f2a369e9ac2f9200db31d8c7a', 'tags': {'proximity': {'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 9}}}, 'last_transferred_at': '1604932948000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
